service_center,appointment_type,channel,scheduled_date,technician_utilization_pct,outcome_status
"Fremont, CA",Warranty Repair,Service Center,2026-05-25,64.0,Rescheduled
"Toronto, ON",Brake Fluid/Caliper Service,Mobile Service,2026-05-25,79.6,Completed
"Seattle, WA",Alignment,Mobile Service,2026-05-25,82.0,Completed
"Fremont, CA",Warranty Repair,Mobile Service,2026-05-25,70.7,Completed
"Toronto, ON",Tire Rotation,Mobile Service,2026-05-25,90.4,Completed
"Fremont, CA",Collision Repair,Mobile Service,2026-05-25,91.7,Completed
"Fremont, CA",12V Battery Service,Service Center,2026-05-25,67.7,Completed
"Denver, CO",12V Battery Service,Service Center,2026-05-25,71.3,Cancelled
"Fremont, CA",Alignment,Mobile Service,2026-05-25,79.3,Cancelled
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-05-25,71.1,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-25,77.2,Cancelled
"Toronto, ON",12V Battery Service,Service Center,2026-05-25,65.9,Completed
"Toronto, ON",Alignment,Service Center,2026-05-25,50.1,Cancelled
"Austin, TX",Alignment,Mobile Service,2026-05-25,67.1,Rescheduled
"Austin, TX",Warranty Repair,Service Center,2026-05-25,78.0,Completed
"Chicago, IL",Alignment,Service Center,2026-05-25,82.2,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-05-25,59.2,Cancelled
"Austin, TX",Collision Repair,Mobile Service,2026-05-25,69.0,Completed
"Denver, CO",Alignment,Service Center,2026-05-25,66.5,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-05-26,64.4,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-26,68.0,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-05-26,64.6,Completed
"Denver, CO",Warranty Repair,Mobile Service,2026-05-26,82.8,Rescheduled
"Chicago, IL",Tire Rotation,Mobile Service,2026-05-26,80.0,Cancelled
"Toronto, ON",Alignment,Service Center,2026-05-26,78.6,Cancelled
"Fremont, CA",Alignment,Service Center,2026-05-26,49.9,Cancelled
"Denver, CO",Warranty Repair,Service Center,2026-05-26,34.4,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-05-26,81.8,Rescheduled
"Denver, CO",12V Battery Service,Mobile Service,2026-05-26,60.6,Cancelled
"Denver, CO",Tire Rotation,Service Center,2026-05-26,81.4,Cancelled
"Austin, TX",Collision Repair,Mobile Service,2026-05-26,76.5,Completed
"Denver, CO",Tire Rotation,Service Center,2026-05-26,72.4,Completed
"Fremont, CA",Collision Repair,Service Center,2026-05-26,46.0,Completed
"Austin, TX",12V Battery Service,Service Center,2026-05-26,83.3,Rescheduled
"Denver, CO",Alignment,Service Center,2026-05-26,58.1,Completed
"Fremont, CA",Alignment,Service Center,2026-05-26,71.8,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-05-26,62.7,Completed
"Austin, TX",Collision Repair,Service Center,2026-05-26,73.1,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-26,76.1,Cancelled
"Austin, TX",Warranty Repair,Mobile Service,2026-05-26,78.0,Completed
"Chicago, IL",Collision Repair,Service Center,2026-05-26,82.4,Rescheduled
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-05-26,99.0,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-05-26,85.3,Rescheduled
"Chicago, IL",Warranty Repair,Service Center,2026-05-26,57.5,Completed
"Denver, CO",Alignment,Service Center,2026-05-26,93.7,Completed
"Austin, TX",Warranty Repair,Mobile Service,2026-05-26,78.8,Completed
"Seattle, WA",Tire Rotation,Mobile Service,2026-05-26,67.6,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-05-26,82.2,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-05-26,69.5,Completed
"Toronto, ON",12V Battery Service,Mobile Service,2026-05-26,83.9,Rescheduled
"Chicago, IL",Collision Repair,Mobile Service,2026-05-26,84.3,Cancelled
"Seattle, WA",12V Battery Service,Service Center,2026-05-26,79.0,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-05-26,66.7,Completed
"Austin, TX",Alignment,Service Center,2026-05-26,43.6,Rescheduled
"Toronto, ON",Warranty Repair,Service Center,2026-05-26,63.9,Cancelled
"Austin, TX",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-26,83.9,Cancelled
"Toronto, ON",12V Battery Service,Mobile Service,2026-05-26,60.2,Completed
"Denver, CO",12V Battery Service,Service Center,2026-05-26,57.7,Cancelled
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-05-26,74.3,Completed
"Austin, TX",Warranty Repair,Service Center,2026-05-26,91.1,Cancelled
"Chicago, IL",Warranty Repair,Service Center,2026-05-26,90.1,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-26,70.6,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-26,76.4,Cancelled
"Chicago, IL",Alignment,Mobile Service,2026-05-26,68.5,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-05-26,75.8,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-26,80.2,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-05-26,90.6,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-05-26,99.7,Rescheduled
"Toronto, ON",Alignment,Collision Center,2026-05-26,77.1,Completed
"Austin, TX",Warranty Repair,Mobile Service,2026-05-26,52.6,Cancelled
"Toronto, ON",Warranty Repair,Mobile Service,2026-05-26,61.5,Rescheduled
"Toronto, ON",Tire Rotation,Mobile Service,2026-05-26,81.0,Completed
"Chicago, IL",Alignment,Mobile Service,2026-05-26,38.6,Completed
"Chicago, IL",Tire Rotation,Service Center,2026-05-26,82.3,Rescheduled
"Chicago, IL",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-26,87.3,Rescheduled
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-05-26,92.6,Cancelled
"Seattle, WA",Alignment,Mobile Service,2026-05-27,100.0,Completed
"Toronto, ON",Tire Rotation,Mobile Service,2026-05-27,59.9,Completed
"Austin, TX",Collision Repair,Service Center,2026-05-27,62.9,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-05-27,43.1,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-05-27,96.6,Rescheduled
"Chicago, IL",Collision Repair,Service Center,2026-05-27,62.8,Completed
"Chicago, IL",Tire Rotation,Mobile Service,2026-05-27,93.2,Completed
"Fremont, CA",Alignment,Mobile Service,2026-05-27,49.7,Completed
"Toronto, ON",Alignment,Service Center,2026-05-27,75.5,Rescheduled
"Fremont, CA",Alignment,Service Center,2026-05-27,52.2,Completed
"Chicago, IL",Warranty Repair,Mobile Service,2026-05-27,69.0,Completed
"Chicago, IL",Tire Rotation,Service Center,2026-05-27,76.7,Rescheduled
"Austin, TX",Alignment,Service Center,2026-05-27,67.7,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-05-27,86.9,Rescheduled
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-05-27,55.0,Completed
"Chicago, IL",Collision Repair,Service Center,2026-05-27,89.5,Cancelled
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-27,77.2,Completed
"Denver, CO",12V Battery Service,Mobile Service,2026-05-27,64.5,Completed
"Seattle, WA",Alignment,Service Center,2026-05-27,44.5,Rescheduled
"Seattle, WA",12V Battery Service,Service Center,2026-05-27,58.2,Completed
"Fremont, CA",Warranty Repair,Service Center,2026-05-27,78.2,Cancelled
"Chicago, IL",Warranty Repair,Collision Center,2026-05-27,72.6,Completed
"Austin, TX",Alignment,Mobile Service,2026-05-27,100.0,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-05-27,79.9,Completed
"Chicago, IL",Alignment,Service Center,2026-05-27,76.3,Completed
"Chicago, IL",Tire Rotation,Service Center,2026-05-27,100.0,Cancelled
"Seattle, WA",Alignment,Service Center,2026-05-27,52.2,Completed
"Austin, TX",Collision Repair,Service Center,2026-05-27,28.8,Completed
"Austin, TX",12V Battery Service,Service Center,2026-05-27,92.7,Completed
"Denver, CO",Alignment,Service Center,2026-05-27,74.4,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-05-27,86.8,Rescheduled
"Chicago, IL",Alignment,Service Center,2026-05-27,65.7,Completed
"Chicago, IL",12V Battery Service,Mobile Service,2026-05-27,52.9,Completed
"Toronto, ON",Warranty Repair,Mobile Service,2026-05-27,68.6,Completed
"Fremont, CA",Alignment,Mobile Service,2026-05-27,94.3,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-05-27,72.9,Completed
"Austin, TX",12V Battery Service,Service Center,2026-05-27,71.5,Rescheduled
"Fremont, CA",Alignment,Service Center,2026-05-27,73.5,Completed
"Seattle, WA",Collision Repair,Mobile Service,2026-05-27,52.6,Completed
"Fremont, CA",Collision Repair,Mobile Service,2026-05-27,72.1,Completed
"Seattle, WA",Collision Repair,Service Center,2026-05-27,91.0,Cancelled
"Denver, CO",Collision Repair,Service Center,2026-05-27,77.2,Cancelled
"Fremont, CA",12V Battery Service,Service Center,2026-05-27,74.2,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-05-27,70.4,Rescheduled
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-27,71.2,Completed
"Seattle, WA",12V Battery Service,Service Center,2026-05-27,79.7,Completed
"Austin, TX",12V Battery Service,Mobile Service,2026-05-27,97.6,Cancelled
"Toronto, ON",Warranty Repair,Service Center,2026-05-27,99.9,Cancelled
"Toronto, ON",Alignment,Service Center,2026-05-27,100.0,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-27,90.0,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-05-28,81.3,Completed
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-05-28,100.0,Cancelled
"Chicago, IL",Cabin/HEPA Filter Replacement,Service Center,2026-05-28,95.0,Rescheduled
"Toronto, ON",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-28,72.8,Completed
"Seattle, WA",Alignment,Service Center,2026-05-28,89.9,Cancelled
"Fremont, CA",Warranty Repair,Mobile Service,2026-05-28,100.0,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-05-28,89.9,Cancelled
"Austin, TX",Cabin/HEPA Filter Replacement,Collision Center,2026-05-28,68.1,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-05-28,67.8,Completed
"Seattle, WA",Warranty Repair,Mobile Service,2026-05-28,95.3,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-28,87.5,Cancelled
"Toronto, ON",Alignment,Service Center,2026-05-28,98.1,Rescheduled
"Seattle, WA",Brake Fluid/Caliper Service,Service Center,2026-05-28,73.0,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-28,88.8,Completed
"Austin, TX",Tire Rotation,Mobile Service,2026-05-28,79.8,Completed
"Denver, CO",Tire Rotation,Service Center,2026-05-28,70.0,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-05-28,88.3,Completed
"Chicago, IL",Warranty Repair,Service Center,2026-05-28,68.0,Completed
"Chicago, IL",Collision Repair,Service Center,2026-05-28,76.7,Completed
"Fremont, CA",Warranty Repair,Service Center,2026-05-28,44.2,Cancelled
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-05-28,76.0,Completed
"Chicago, IL",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-28,100.0,Rescheduled
"Toronto, ON",12V Battery Service,Service Center,2026-05-28,77.0,Cancelled
"Austin, TX",Alignment,Mobile Service,2026-05-28,73.0,Completed
"Seattle, WA",Alignment,Service Center,2026-05-28,77.7,Rescheduled
"Denver, CO",12V Battery Service,Collision Center,2026-05-28,53.3,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-05-28,78.9,Cancelled
"Toronto, ON",Alignment,Service Center,2026-05-28,100.0,Cancelled
"Chicago, IL",Warranty Repair,Service Center,2026-05-28,84.3,Rescheduled
"Toronto, ON",Alignment,Service Center,2026-05-28,91.6,Completed
"Denver, CO",12V Battery Service,Service Center,2026-05-28,94.4,Cancelled
"Denver, CO",Warranty Repair,Mobile Service,2026-05-28,74.4,Completed
"Austin, TX",Collision Repair,Service Center,2026-05-28,63.8,Completed
"Toronto, ON",Warranty Repair,Mobile Service,2026-05-28,63.3,Completed
"Chicago, IL",Warranty Repair,Service Center,2026-05-28,87.0,Cancelled
"Chicago, IL",12V Battery Service,Service Center,2026-05-28,68.9,Cancelled
"Austin, TX",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-28,85.8,Completed
"Toronto, ON",Collision Repair,Service Center,2026-05-28,72.7,Rescheduled
"Chicago, IL",Tire Rotation,Mobile Service,2026-05-28,69.9,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-28,53.2,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-05-28,84.5,Rescheduled
"Chicago, IL",Alignment,Service Center,2026-05-28,88.1,Completed
"Denver, CO",Alignment,Service Center,2026-05-28,94.3,Completed
"Denver, CO",Collision Repair,Mobile Service,2026-05-28,100.0,Cancelled
"Chicago, IL",Alignment,Mobile Service,2026-05-28,77.0,Completed
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-05-28,100.0,Completed
"Fremont, CA",12V Battery Service,Mobile Service,2026-05-28,75.6,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-05-28,71.1,Completed
"Fremont, CA",Tire Rotation,Mobile Service,2026-05-28,86.5,Rescheduled
"Fremont, CA",Collision Repair,Service Center,2026-05-28,72.5,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-28,56.8,Completed
"Denver, CO",12V Battery Service,Service Center,2026-05-28,67.3,Completed
"Fremont, CA",Collision Repair,Service Center,2026-05-28,77.1,Completed
"Austin, TX",Tire Rotation,Service Center,2026-05-28,100.0,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-28,76.9,Rescheduled
"Chicago, IL",Tire Rotation,Service Center,2026-05-28,73.4,Cancelled
"Denver, CO",12V Battery Service,Service Center,2026-05-28,80.4,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-05-28,87.8,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-05-28,92.1,Completed
"Austin, TX",Tire Rotation,Mobile Service,2026-05-28,100.0,Rescheduled
"Fremont, CA",Collision Repair,Service Center,2026-05-28,75.1,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-05-28,83.8,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-05-28,69.7,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-28,81.5,Completed
"Denver, CO",Alignment,Service Center,2026-05-28,51.6,Completed
"Denver, CO",Warranty Repair,Mobile Service,2026-05-28,58.5,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-05-28,83.6,Completed
"Seattle, WA",Collision Repair,Mobile Service,2026-05-28,89.9,Rescheduled
"Chicago, IL",Warranty Repair,Mobile Service,2026-05-28,75.5,Completed
"Austin, TX",Brake Fluid/Caliper Service,Mobile Service,2026-05-28,76.7,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Collision Center,2026-05-28,60.5,Completed
"Seattle, WA",12V Battery Service,Service Center,2026-05-28,96.4,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-28,54.5,Completed
"Toronto, ON",12V Battery Service,Mobile Service,2026-05-29,64.3,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-05-29,80.5,Completed
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-05-29,100.0,Cancelled
"Denver, CO",Brake Fluid/Caliper Service,Collision Center,2026-05-29,66.6,Completed
"Austin, TX",Tire Rotation,Service Center,2026-05-29,62.9,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-05-29,47.0,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-29,86.4,Cancelled
"Denver, CO",Collision Repair,Service Center,2026-05-29,78.1,Cancelled
"Austin, TX",Alignment,Service Center,2026-05-29,94.0,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-05-29,89.5,Cancelled
"Austin, TX",Warranty Repair,Mobile Service,2026-05-29,85.1,Completed
"Toronto, ON",12V Battery Service,Service Center,2026-05-29,77.4,Cancelled
"Chicago, IL",12V Battery Service,Service Center,2026-05-29,64.9,Completed
"Denver, CO",Cabin/HEPA Filter Replacement,Collision Center,2026-05-29,74.8,Cancelled
"Toronto, ON",Warranty Repair,Mobile Service,2026-05-29,74.8,Completed
"Seattle, WA",12V Battery Service,Service Center,2026-05-29,62.3,Rescheduled
"Toronto, ON",Tire Rotation,Mobile Service,2026-05-29,79.2,Rescheduled
"Fremont, CA",Alignment,Collision Center,2026-05-29,88.2,Completed
"Fremont, CA",Alignment,Mobile Service,2026-05-29,74.9,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-05-29,71.3,Completed
"Chicago, IL",Alignment,Service Center,2026-05-29,99.6,Completed
"Denver, CO",Alignment,Service Center,2026-05-29,73.1,Rescheduled
"Toronto, ON",Collision Repair,Service Center,2026-05-29,62.1,Completed
"Denver, CO",Warranty Repair,Mobile Service,2026-05-29,97.8,Cancelled
"Denver, CO",Collision Repair,Mobile Service,2026-05-29,68.0,Rescheduled
"Denver, CO",Brake Fluid/Caliper Service,Mobile Service,2026-05-29,74.3,Completed
"Fremont, CA",Alignment,Service Center,2026-05-29,75.5,Completed
"Chicago, IL",Warranty Repair,Mobile Service,2026-05-29,79.9,Completed
"Toronto, ON",Cabin/HEPA Filter Replacement,Service Center,2026-05-29,49.5,Completed
"Austin, TX",12V Battery Service,Mobile Service,2026-05-29,71.4,Completed
"Fremont, CA",Warranty Repair,Service Center,2026-05-29,100.0,Rescheduled
"Denver, CO",Cabin/HEPA Filter Replacement,Service Center,2026-05-29,72.8,Cancelled
"Denver, CO",Alignment,Service Center,2026-05-29,77.5,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-05-29,65.0,Completed
"Denver, CO",12V Battery Service,Service Center,2026-05-29,100.0,Cancelled
"Seattle, WA",Warranty Repair,Service Center,2026-05-29,72.0,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-29,86.7,Completed
"Fremont, CA",Alignment,Service Center,2026-05-29,91.8,Completed
"Seattle, WA",Tire Rotation,Service Center,2026-05-29,66.2,Cancelled
"Fremont, CA",Collision Repair,Mobile Service,2026-05-29,61.6,Completed
"Austin, TX",Alignment,Service Center,2026-05-29,63.1,Completed
"Austin, TX",Brake Fluid/Caliper Service,Service Center,2026-05-29,61.3,Completed
"Toronto, ON",Alignment,Mobile Service,2026-05-29,94.7,Cancelled
"Austin, TX",Tire Rotation,Mobile Service,2026-05-29,72.4,Cancelled
"Denver, CO",Collision Repair,Mobile Service,2026-05-29,67.1,Cancelled
"Fremont, CA",Collision Repair,Mobile Service,2026-05-29,92.5,Completed
"Austin, TX",Warranty Repair,Mobile Service,2026-05-29,54.3,Completed
"Denver, CO",Collision Repair,Service Center,2026-05-29,61.4,Rescheduled
"Seattle, WA",Alignment,Service Center,2026-05-29,85.5,Completed
"Denver, CO",Warranty Repair,Service Center,2026-05-29,72.7,Cancelled
"Seattle, WA",Warranty Repair,Service Center,2026-05-29,91.5,Cancelled
"Chicago, IL",Collision Repair,Service Center,2026-05-29,79.6,Cancelled
"Fremont, CA",Collision Repair,Service Center,2026-05-29,91.3,Cancelled
"Denver, CO",12V Battery Service,Mobile Service,2026-05-29,80.5,Rescheduled
"Denver, CO",Brake Fluid/Caliper Service,Service Center,2026-05-30,65.3,Completed
"Denver, CO",Warranty Repair,Service Center,2026-05-30,89.2,Rescheduled
"Denver, CO",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-30,61.4,Completed
"Denver, CO",Tire Rotation,Service Center,2026-05-30,60.8,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-05-30,69.1,Completed
"Austin, TX",12V Battery Service,Service Center,2026-05-30,50.7,Completed
"Chicago, IL",Tire Rotation,Service Center,2026-05-30,87.0,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-30,73.1,Completed
"Denver, CO",Warranty Repair,Service Center,2026-05-30,67.7,Completed
"Denver, CO",12V Battery Service,Service Center,2026-05-30,68.8,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-05-30,69.8,Rescheduled
"Toronto, ON",Warranty Repair,Collision Center,2026-05-30,58.8,Completed
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-05-30,36.7,Completed
"Toronto, ON",Tire Rotation,Service Center,2026-05-30,80.5,Completed
"Toronto, ON",Collision Repair,Service Center,2026-05-30,100.0,Completed
"Austin, TX",12V Battery Service,Service Center,2026-05-30,32.7,Completed
"Seattle, WA",Alignment,Mobile Service,2026-05-30,68.3,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-05-30,83.4,Completed
"Seattle, WA",Warranty Repair,Service Center,2026-05-30,78.8,Completed
"Fremont, CA",Warranty Repair,Service Center,2026-05-30,89.8,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-30,68.5,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-05-30,85.1,Completed
"Denver, CO",Collision Repair,Service Center,2026-05-30,72.3,Completed
"Fremont, CA",12V Battery Service,Service Center,2026-05-30,44.5,Completed
"Denver, CO",Alignment,Mobile Service,2026-05-30,59.4,Completed
"Seattle, WA",12V Battery Service,Collision Center,2026-05-30,62.3,Rescheduled
"Seattle, WA",Collision Repair,Mobile Service,2026-05-30,96.5,Cancelled
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-05-30,54.0,Completed
"Chicago, IL",Collision Repair,Service Center,2026-05-30,100.0,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Collision Center,2026-05-30,87.8,Completed
"Denver, CO",Tire Rotation,Mobile Service,2026-05-30,51.1,Cancelled
"Chicago, IL",Brake Fluid/Caliper Service,Service Center,2026-05-30,84.7,Rescheduled
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-05-30,56.0,Completed
"Chicago, IL",12V Battery Service,Service Center,2026-05-30,52.2,Rescheduled
"Denver, CO",12V Battery Service,Mobile Service,2026-05-30,85.8,Cancelled
"Austin, TX",Collision Repair,Service Center,2026-05-30,76.7,Completed
"Seattle, WA",Alignment,Service Center,2026-05-30,85.5,Rescheduled
"Austin, TX",12V Battery Service,Service Center,2026-05-30,65.0,Completed
"Toronto, ON",Tire Rotation,Service Center,2026-05-30,51.7,Completed
"Denver, CO",12V Battery Service,Mobile Service,2026-05-30,80.4,Rescheduled
"Fremont, CA",Tire Rotation,Service Center,2026-05-30,84.4,Rescheduled
"Seattle, WA",Brake Fluid/Caliper Service,Mobile Service,2026-05-30,53.3,Cancelled
"Fremont, CA",12V Battery Service,Service Center,2026-05-30,51.0,Rescheduled
"Chicago, IL",Collision Repair,Service Center,2026-05-30,100.0,Completed
"Seattle, WA",Alignment,Service Center,2026-05-30,74.4,Cancelled
"Austin, TX",Cabin/HEPA Filter Replacement,Service Center,2026-05-30,80.2,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-05-30,79.0,Completed
"Austin, TX",12V Battery Service,Mobile Service,2026-05-30,54.3,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-05-30,51.8,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-05-30,39.4,Cancelled
"Chicago, IL",Alignment,Mobile Service,2026-05-30,77.0,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Service Center,2026-05-30,100.0,Completed
"Chicago, IL",Alignment,Service Center,2026-05-30,60.0,Cancelled
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-05-30,58.4,Completed
"Denver, CO",12V Battery Service,Service Center,2026-05-30,57.7,Cancelled
"Seattle, WA",Tire Rotation,Mobile Service,2026-05-30,69.7,Completed
"Toronto, ON",Collision Repair,Service Center,2026-05-30,68.9,Cancelled
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-05-30,85.6,Completed
"Seattle, WA",Cabin/HEPA Filter Replacement,Service Center,2026-05-30,95.2,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-05-30,100.0,Completed
"Fremont, CA",Brake Fluid/Caliper Service,Mobile Service,2026-05-30,86.8,Cancelled
"Chicago, IL",12V Battery Service,Mobile Service,2026-05-30,75.2,Cancelled
"Denver, CO",Collision Repair,Service Center,2026-05-31,77.0,Completed
"Toronto, ON",12V Battery Service,Collision Center,2026-05-31,52.3,Cancelled
"Toronto, ON",Tire Rotation,Service Center,2026-05-31,100.0,Completed
"Fremont, CA",Tire Rotation,Service Center,2026-05-31,50.2,Cancelled
"Denver, CO",Collision Repair,Service Center,2026-05-31,76.7,Cancelled
"Denver, CO",Collision Repair,Service Center,2026-05-31,57.2,Completed
"Fremont, CA",Alignment,Mobile Service,2026-05-31,80.0,Cancelled
"Seattle, WA",Cabin/HEPA Filter Replacement,Mobile Service,2026-05-31,82.9,Rescheduled
"Chicago, IL",12V Battery Service,Mobile Service,2026-05-31,69.0,Completed
"Chicago, IL",Collision Repair,Mobile Service,2026-05-31,83.2,Completed
"Austin, TX",12V Battery Service,Mobile Service,2026-05-31,76.2,Rescheduled
"Chicago, IL",Tire Rotation,Service Center,2026-05-31,99.2,Completed
"Fremont, CA",Cabin/HEPA Filter Replacement,Service Center,2026-05-31,74.3,Cancelled
"Fremont, CA",Warranty Repair,Mobile Service,2026-05-31,100.0,Rescheduled
"Fremont, CA",Tire Rotation,Service Center,2026-05-31,84.2,Cancelled
"Toronto, ON",Tire Rotation,Service Center,2026-05-31,68.5,Completed
"Austin, TX",Tire Rotation,Mobile Service,2026-05-31,77.2,Completed
"Austin, TX",Collision Repair,Mobile Service,2026-05-31,71.7,Cancelled
"Austin, TX",Warranty Repair,Mobile Service,2026-05-31,94.5,Cancelled
"Fremont, CA",Tire Rotation,Service Center,2026-05-31,100.0,Rescheduled
"Seattle, WA",12V Battery Service,Service Center,2026-05-31,82.0,Rescheduled
"Chicago, IL",Collision Repair,Mobile Service,2026-05-31,98.5,Cancelled
"Seattle, WA",12V Battery Service,Service Center,2026-05-31,41.6,Completed
"Austin, TX",12V Battery Service,Service Center,2026-05-31,82.3,Cancelled
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-05-31,74.2,Completed
"Chicago, IL",Collision Repair,Service Center,2026-05-31,74.9,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-05-31,49.2,Completed
"Denver, CO",Collision Repair,Service Center,2026-05-31,70.0,Rescheduled
"Denver, CO",Warranty Repair,Service Center,2026-05-31,67.6,Completed
"Chicago, IL",Brake Fluid/Caliper Service,Mobile Service,2026-05-31,71.7,Completed
"Chicago, IL",Tire Rotation,Mobile Service,2026-05-31,75.3,Completed
"Austin, TX",Warranty Repair,Service Center,2026-05-31,80.6,Completed
"Toronto, ON",Brake Fluid/Caliper Service,Service Center,2026-05-31,88.9,Completed
"Austin, TX",Alignment,Service Center,2026-05-31,77.6,Cancelled
